"Top Sliders","أعلى المتزلجون"
"Slider","المنزلق"
"Top Banners","الأعلى لافتات"
"Banner","راية"
"Special Products","المنتجات الخاصة"
"New Arrivals","القادمون الجدد"
"Best Sellers","الأكثر مبيعا"
"Login Successful.","تسجيل الدخول الناجحة."
"This is a required field.","هذا مجال مطلوب."
"Registration Successful.","تم التسجيل بنجاح."
"Cannot create user account.","لا يمكن إنشاء حساب المستخدم."
"Email Id is required.","مطلوب البريد الإلكتروني معرف."
"Starting at","يبدأ من"
"Something went wrong","هناك خطأ ما"
"Please select a category.","الرجاء تحديد الفئة."
"Product not found.","الصنف غير موجود."
"Product Id is required.","مطلوب رقم المنتج."
"Links","الروابط"
"N/A","N / A"
"No","لا"
"was added to your shopping cart.","تمت إضافته إلى سلة التسوق الخاصة بك."
"Cannot add the item to shopping cart.","لا يمكن إضافة هذا البند إلى عربة التسوق."
"Item has been updated in your cart successfully.","تم تحديث عنصر في عربة التسوق بنجاح."
"Quantity has not been set for this product.","لم يتم تعيين كمية لهذا المنتج."
"Cannot update shopping cart.","لا يمكن تحديث عربة التسوق."
"Something went wrong.","هناك خطأ ما."
"Quantity","كمية"
"Item has been removed from your cart successfully.","تمت إزالة عنصر من عربة التسوق بنجاح."
"Cannot remove the item.","لا يمكن إزالة هذا البند."
"Prefix","اختصار"
"First Name","الاسم الاول"
"Middle Name/Initial","الاسم الأوسط / الحرف الأول من اسمك"
"Last Name","الكنية"
"Suffix","لاحقة"
"Company","شركة"
"Address","عنوان"
"Address 2","العنوان 2"
"City","مدينة"
"Country","بلد"
"State/Province","/ مقاطعة الدولة"
"Zip/Postal Code","الرمز البريدي / الرمز البريدي"
"Telephone","هاتف"
"Fax","فاكس"
"Please select a country.","رجاء قم بإختيار دوله."
"Customer is not looged in","لا looged العملاء في"
"Address not selected.","عنوان غير محددة."
"The customer address is not valid.","عنوان العميل غير صالح."
"Cart information loaded successfully","معلومات العربة المحملة بنجاح"
"No Shipping Method Required","لا أسلوب الشحن المطلوبة"
"No Shipping Method Available","لا أسلوب الشحن المتوفرة"
"Shipping method was set successfully.","تم تعيين طريقة الشحن بنجاح."
"An error occurred while selecting shipping method.","حدث خطأ أثناء اختيار الشحن الأسلوب."
"Please login to view your addresses.","يرجى تسجيل الدخول لعرض العناوين الخاصة بك."
"Address has been updated successfully.","تم تحديث عنوان بنجاح."
"Address has been added successfully.","تمت إضافة عنوان بنجاح."
"Please login to add/update your addresses.","الرجاء تسجيل الدخول لتحديث / إضافة العناوين."
"An error occurred while saving billing address.","حدث خطأ أثناء حفظ عنوان الفواتير."
"An error occurred while saving shipping address.","حدث خطأ أثناء حفظ عنوان الشحن."
"No Payment methods is enabled","عدم تمكين أي طرق الدفع"
"No Payment methods has been configured","تم تكوين أية أساليب الدفع"
"Order created successfully","خلقت أجل بنجاح"
"Your information has been updated successfully.","تم تحديث المعلومات الخاصة بك بنجاح."
"Invalid email address.","عنوان البريد الإلكتروني غير صالح."
"If there is an account associated with your email you will receive an email with a link to reset your password.","إذا كان هناك حساب مرتبط مع البريد الإلكتروني الخاص بك سوف تتلقى رسالة بريد إلكتروني مع وصلة لإعادة تعيين كلمة المرور الخاصة بك."
"Please enter your email.","رجاءا أدخل بريدك الإلكتروني."
"Please login to view your orders.","يرجى تسجيل الدخول لعرض أوامرك."
"Orders not found.","أوامر غير موجود."
"Please login to view your order details.","الرجاء تسجيل الدخول لمشاهدة تفاصيل طلبك."
"Please select an order.","الرجاء تحديد النظام."
"Subtotal","حاصل الجمع"
"Shipping & Handling","شحن وتسليم"
"Discount","خصم"
"Tax","ضريبة"
"Grand Total","المجموع الكلي"
"Order created by this cart","خلق النظام من قبل هذه العربة"
"Voucher has been applied to your cart successfully.","وقد تم تطبيق قسيمة لعربة التسوق بنجاح."
"Coupon code is not valid.","رمز القسيمة غير صالح."
"Voucher has been removed from your cart successfully.","تمت إزالة قسيمة من عربة التسوق بنجاح."
"Please login to add this product to wishlist.","الرجاء تسجيل الدخول لإضافة هذا المنتج إلى سلة."
"Please select a product","الرجاء اختيار منتج"
"Cannot specify product.","لا يمكن تحديد المنتج."
"%1$s has been added to your wishlist.","تمت إضافة٪ 1 $ s إلى سلة المفضلة."
"An error occurred while adding item to wishlist: %s","حدث خطأ أثناء إضافة العنصر إلى سلة:٪ ق"
"Requested wishlist doesn't exist","غير موجود مفضلة طلب"
"SKU","SKU"
"Wishlist could not be created.","لا يمكن إنشاء مفضلة."
"An error occurred while deleting the item from wishlist.","حدث خطأ أثناء حذف هذا البند من مفضلة."
"Wishlist item has been successfully removed.","تمت إزالة البند مفضلة بنجاح."
"An error occurred while deleting the item from wishlist: %s","حدث خطأ أثناء حذف هذا البند من مفضلة:٪ ق"
"Item has been successfully added to the cart.","تمت إضافة بند بنجاح إلى العربة."
"Incl. Tax","بما في ذلك ضريبة"
"Unable to post the review.","غير قادر على الرد على الاستعراض."
"Recent Products","المنتجات الأخيرة"
"From","من عند"
"To","إلى"
"Mobile number and country code is Mandatory.","عدد وبلد المحمول متاحة الإلزامي."
"Country Code is Mandatory.","رمز البلد غير الإلزامي."
"This mobile number has already been registered with an other account.","وقد تم تسجيل هذا رقم الجوال مع حساب آخر."
"Shipping Method is disabled.","تم تعطيل أسلوب الشحن."
"Mobile Number is blank","رقم الجوال فارغ"
"Mobile Number already exist","رقم الجوال موجودة بالفعل"
"Empty Mobile number.","إفراغ رقم ​​الجوال."
"Empty Country Code.","إفراغ رمز الدولة."
"Empty Password.","كلمة المرور فارغة."
"The password has been changed successfully.","تم تغيير كلمة السر بنجاح."
"Password cannot be updated.","لا يمكن تحديث كلمة المرور."
"An account using this email address does not exists.","حساب باستخدام عنوان البريد الإلكتروني هذا لا يوجد."
"The account has been mapped for the fingerprint login in this device.","تم تعيين حساب لتسجيل الدخول بصمة في هذا الجهاز."
"The account can not be mapped for the fingerprint login in this device.","الحساب لا يمكن تعيين لتسجيل الدخول بصمة في هذا الجهاز."
"Customer data is not available.","بيانات العملاء غير متوفر."
"Your account isn\'t available at this time.","حسابك يسن \ 'ر متاحة في هذا الوقت."
"This Unique Id is not linked with the Email id.","لا يرتبط هذا رقم فريد مع معرف البريد الإلكتروني."
"This Mobile number is not linked with any account.","لا يرتبط هذا رقم الجوال مع أي حساب."
"Mobile Number or country code is not available.","رقم الهاتف الجوال أو رمز البلد غير متوفر."
"Mobile number exists into the database..","يوجد رقم هاتف محمول في قاعدة البيانات .."
"Mobile number does not exists into the database..","لا يوجد رقم هاتف محمول في قاعدة البيانات .."
"Not Mentioned","لم يذكر"
"Marektplace Module is not enabled","لم يتم تمكين Marektplace الوحدة"
"Seller id is missing","البائع معرف مفقود"
"Seller not found","البائع لم يتم العثور"
"Please login to write review.","برجاء تسجيل الدخول للتقييم."
"Not able to submit your review. Title or comment is missing.","غير قادرة على تقديم مراجعة. عنوان أو تعليق مفقود."
"Not able to submit your review. Posting review for this seller is not allowed.","غير قادرة على تقديم مراجعة. لا يسمح نشر المراجعات لهذا البائع."
"Thanks! for rating the Seller.","شكر! لتصنيف البائع."
"All","الكل"
"Name","اسم"
"A-Z","A-Z"
"Z-A","Z-A"
"Price","السعر"
"Low to High","من أسفل إلى أعلى"
"High to Low","الاعلى الى الادنى"
"Ascending","تصاعدي"
"Descending","تنازلي"
"All Products","جميع المنتجات"
"Customer already registered.","العملاء التي سجلت بالفعل."
"An error occurred .","حدث خطأ ."
"Success.","نجاح."
"Last order was not completed.","لم يتم إكمال أمر آخر."
"Can't apply voucher code on this cart.","لا يمكن تطبيق كود القسيمة على هذه العربة."
"An error occurred while adding item to wishlist: %1","حدث خطأ أثناء إضافة العنصر إلى سلة:٪ 1"
"Your review has been accepted for moderation.","وقد تم قبول رأيك عن الاعتدال."
"Review by %1","مراجعة من قبل٪ 1"
"(Posted on %1)","(تاريخ٪ 1)"
"--Select Category--","--اختر الفئة--"
"Order Successfully Created","أجل مكون بنجاح"
"Hi Thanks for your interest. Keep shopping with us to become our premium customer.","مرحبا، شكرا لاهتمامك. الحفاظ تسوق معنا لتصبح عملائنا متميزة."
"Order status update","تحديث حالة الطلب"
"Hi Your order status has been changed to {{STATUS}}.","مرحبا تم تغيير وضع طلبك إلى {{الوضع}}."
"Hurry!","عجل!"
"Hi","استكمال طلبك للحصول على فوائد إضافية على طلبك المقبل."
"Best Seller Products","أفضل بائع المنتجات"
"Featured Products","منتجات مميزة"
"New Products","منتجات جديدة"
"From a category","من فئة"
"Custom Products","منتجات مخصصة"
"Mobile App Builder","موبايل التطبيق بناء"
"Settings saved successfully.","إعدادات حفظ بنجاح."
"Firebase Server key is not available","مفتاح خادم Firebase غير متوفر"
"Notificaton Send successfully","Notificaton إرسال بنجاح"
"Data saved successfully.","تم حفظ المعلومات بنجاح."
"Component deleted successfully.","حذف عنصر بنجاح."
"Banner data deleted successfully.","حذف البيانات راية بنجاح."
"Layout deleted successfully.","حذف تخطيط بنجاح."
"Data has been saved successfully.","تم حفظ البيانات بنجاح."
"Settings saved successfully","الإعدادات المحفوظة بنجاح"
"Edit Layout","تحرير تخطيط"
"Knowband Mobile App Builder is not enabled on this store.","لم يتم تمكين Knowband موبايل التطبيق بناء على هذا المخزن."
"Requested API not available","API طلب غير متوفر"
"Requested Api method not available","طريقة واجهة برمجة التطبيقات المطلوبة غير متوفرة"
"Save Settings","احفظ التغييرات"
"Edit","تعديل"
"Edit Name","تعديل الاسم"
"Delete","حذف"
"View Details","عرض التفاصيل"
"Layout ID","ID تخطيط"
"Layout Name","اسم التصميم"
"Action","عمل"
"Home Page Layout Settings","الصفحة الرئيسية ابتداء من تخطيط الصفحة"
"Title","عنوان"
"URL","URL"
"Upload","رفع"
"Image Type","نوع الصورة"
"Home","الصفحة الرئيسية"
"Category","الفئة"
"Product","المنتج"
"Redirect Activity","آخر إعادة توجيه"
"Disable","تعطيل"
"Enable","ممكن"
"Status","الحالة"
"Banners Settings","إعدادات لافتات"
"ID","هوية شخصية"
"Device Type","نوع الجهاز"
"Both Android/iOS","كلا الروبوت / دائرة الرقابة الداخلية"
"Android","ذكري المظهر"
"iOS","دائرة الرقابة الداخلية"
"Sent Date","تاريخ أرسلت"
"Push Notification History","تاريخ الإخطار دفع"
"Return Statuses","عودة المنزلة"
"Coupon Code","رمز الكوبون"
"Customer Email","العملاء البريد الإلكتروني"
"Device","جهاز"
"Coupon Used","قسيمة مستعمل"
"Yes","نعم"
"Coupon Generated On","قسيمة إنشاؤها على"
"Menu Settings","إعدادات القائمة"
"Push Notification Settings","اضغط على ضبط الاشعارات"
"Slider Settings","إعدادات المنزلق"
"Google Login Settings","إعدادات الدخول جوجل"
"Facebook Login Settings","الفيسبوك الدخول إعدادات"
"General Settings","الاعدادات العامة"
"New Arrival","قادم جديد"
"Best Seller","الأكثر مبيعا"
"Statistics","الإحصاء"
"Category Icon Settings","الفئة إعدادات الرموز"
"Code","الشفرة"
"Payment Method Settings","إعدادات طريقة الدفع"
"Image","صورة"
"Upto Time","تصل الوقت"
"Background Color","لون الخلفية"
"Text Color","لون الخط"
"Redirect","إعادة توجيه"
"Category ID","معرف الفئة"
"Product ID","معرف المنتج"
"Product Name","اسم المنتج"
"Sort Order","امر ترتيب"
"Layout Settings","إعدادات الشكل الظاهري"
"Back","عودة"
"Session has expired. Please try again after Re-login.","انتهت الدورة. يرجى المحاولة مرة أخرى بعد إعادة تسجيل الدخول."
"Sorry","تتوفر لهذا النظام في هذا الوقت لم يستشهد."
"Place Order","مكان الامر"
"Heading of this Component","العنوان من هذا المكون"
"Field cannot be empty.","لا يمكن أن يكون الحقل فارغا."
"Select Product Type","اختر نوع المنتج"
"Select Category","اختر الفئة"
"Select Products from Category","اختر المنتجات من الفئة"
"Select Products","اختر المنتجات"
"Number of products","عدد من المنتجات"
"Image Content Mode","وضع صورة المحتوى"
"Scale aspect fill","مقياس الجانب تعبئة"
"Scale aspect Fit","نطاق صالح الجانب"
"Please select category.","الرجاء تحديد الفئة."
"Please select product.","الرجاء تحديد المنتج."
"Please select image type","الرجاء اختيار نوع الصورة"
"Please provide image url","يرجى تقديم صورة رابط"
"Please select category","الرجاء تحديد الفئة"
"Please select product","الرجاء تحديد المنتج"
"Only Positive integer is allowed.","يسمح صحيح موجب فقط."
"Please select an option from dropdown.","الرجاء تحديد خيار من القائمة المنسدلة."
"You can enter only numbers.","يمكنك إدخال أرقام فقط."
"Number should be greater than 0.","يجب أن تكون عدد أكبر من 0."
"Field cannot be greater than {#} characters.","لا يمكن أن يكون الحقل أكبر من {#} حرفا."
"Field cannot be less than {#} character(s).","المجال لا يمكن أن يكون أقل من {#} حرف (ق)."
"Please enter Email.","يرجى إدخال البريد الإلكتروني."
"Please enter a valid Email.","يرجى إدخال البريد الإلكتروني الصحيح."
"Invalid date format.","تنسيق التاريخ غير صالح."
"Number is not in the valid range. It should be between {1} and {100}","عدد غير موجود في النطاق الصالح. وينبغي أن يكون بين {1} و {100}"
"Field should be numeric.","يجب أن يكون حقل رقمي."
"Field can have only upto two decimal values.","يمكن أن يكون الحقل فقط تصل قيمتين عشرية."
"Email cannot be greater than {#} characters.","البريد الإلكتروني لا يمكن أن يكون أكبر من {#} حرفا."
"Zip should not have special characters.","لا ينبغي أن يكون الرمز البريدي أحرف خاصة."
"Percentage should be in number.","يجب أن تكون النسبة المئوية في العدد."
"Percentage should be between 0 and 100.","يجب أن تكون النسبة المئوية بين 0 و 100."
"Size cannot be greater than {#} characters.","الحجم لا يمكن أن يكون أكبر من {#} حرفا."
"Color could not be greater than {#} characters.","اللون لا يمكن أن يكون أكبر من {#} حرفا."
"Color is not valid.","لون غير صالح."
"Special characters are not allowed.","يمنع استعمال الرموز."
"Script tags are not allowed.","لا يسمح علامات البرنامج النصي."
"Style tags are not allowed.","لا يسمح العلامات نمط."
"Iframe tags are not allowed.","لا يسمح علامات IFRAME."
"Uploaded file is not an image.","ملف مرفوع ليس صورة."
"Uploaded file size must be less than #.","يجب أن يكون مرفوع حجم الملف أقل من #."
"Field should not contain HTML tags.","يجب أن لا يحتوي على حقل علامات HTML."
"You can enter only positive numbers.","يمكنك إدخال أرقام موجبة فقط."
"Select Image Type","حدد نوع الصورة"
"Select an option","حدد اختيارا"
"Image Url","رابط الصورة"
"Enter URL","إدخال عنوان الموقع"
"Image Upload","صورة تحميل"
"Select Redirect Activity","اختر إعادة توجيه آخر"
"CMS","CMS"
"Login","تسجيل الدخول"
"Search","بحث"
"Select Product","حدد المنتج"
"Banner Width","راية العرض"
"Banner Height","راية الطول"
"Margin Top","الهامش الأعلى"
"Margin Bottom","هامش القاع"
"Margin Left","هامش اليسار"
"Margin Right","الهامش الأيمن"
"Countdown Time Validity","صلاحية العد التنازلي الوقت"
"Enable Time Background Color","تمكين الوقت لون الخلفية"
"Time Background Color","الوقت لون الخلفية"
"Timer Text Color","لون الخط الموقت"
"Select Date","حدد تاريخ"
"Save","حفظ"
"This field cannot be empty","هذا المجال لا يمكن أن يكون فارغا"
"Select 1st Category","اختر الفئة 1ST"
"Upload Image","تحميل الصور"
"Remove image","إزالة الصورة"
"Select 2nd Category","اختر الفئة 2ND"
"Select 3rd Category","اختر الفئة 3RD"
"Select 4th Category","اختر الفئة 4TH"
"Select 5th Category","اختر الفئة 5TH"
"Select 6th Category","اختر الفئة 6TH"
"Select 7th Category","اختر الفئة 7TH"
"Select 8th Category","اختر الفئة 8TH"
"Are your sure?","هل انت متأكد؟"
"Are you sure?","هل أنت واثق؟"
"Edit Component","تحرير مكون"
"Close","قريب"
"Need to add value in atleast 4 categories","الحاجة إلى إضافة قيمة في أتلست 4 فئات"
"Component added successfully","وأضاف العنصر بنجاح"
"You can add only 20 components in a layout","يمكنك إضافة 20 فقط المكونات في تخطيط"
"Top Categories","أفضل الفئات"
"Banner-Square","راية ساحة"
"Banner-Custom","راية مخصص"
"Banner-Horizontal Sliding","راية أفقي انزلاق"
"Banner-Grid","راية الشبكة"
"Banner-With Countdown timer","راية مع للعد التنازلي"
"Products-Square","منتجات ساحة"
"Products-Horizontal Sliding","المنتجات أفقي انزلاق"
"Products-Grid","منتجات الشبكة"
"Edit Heading","تحرير العنوان"
"Category1","الفئة 1"
"Category2","Category2"
"Category3","Category3"
"Category4","Category4"
"Horizontal Banner","أفقي راية"
"Banner-Grid 1","راية الشبكة 1"
"Banner-Grid 2","راية الشبكة 2"
"Banner-Grid 3","راية الشبكة 3"
"Banner-Grid 4","راية الشبكة 4"
"Countdown Banner","العد التنازلي لافتة"
"Hours","ساعة"
"Minutes","دقيقة"
"Seconds","ثانيا"
"Horizontal Products","المنتجات أفقي"
"Product Grid","شبكة المنتج"
"Payment Mode","طريقة الدفع"
"Sandbox","Sandbo"
"Live","ليف"
"Client Id","رقم العميل"
"Please select atleast one country","الرجاء تحديد أتلست بلد واحد"
"Please enter a valid color code","الرجاء إدخال رمز اللون صحيح"
"Date & Time should be greater than current date time.","يجب أن يكون تاريخ ووقت أكبر من وقت التاريخ الحالي."
"Field cannot be empty","المجال لا يمكن إفراغ"
"Total Coupons Generated","مجموع القسائم ولدت"
"Total Coupons Unused","مجموع القسائم غير المستخدمة"
"Total Coupons Used","مجموع قسائم مستعمل"
"`Active Date` cannot be greater than `Expire Date`","`النشطة Date` لا يمكن أن يكون أكبر من` انتهاء صلاحية Date`"
"`From` Date cannot be greater than `To` Date","`From` تاريخ لا يمكن أن يكون أكبر من` To` التسجيل"
"The sum of Gravity is not in the valid range. It should be betwen 1 and 100. The total is:","مجموع الجاذبية ليست في نطاق صالح. وينبغي أن يكون بين العامين 1 و 100. ككل:"
"No list exists for this API key.","لا توجد قائمة لهذا المفتاح API."
"No. of times","عدد مرات"
"Date","تاريخ"
"Please upload an image file.","يرجى تحميل ملف صورة."
"To percentage should be greater than From percentage.","لنسبة يجب أن تكون أكبر من من نسبة."
"Value must be greater than 0","يجب أن تكون قيمة أكبر من 0"
"Allowed extension is","تمديد المسموح به هو"
"Please provide correct format. Maximum allowed file size is","يرجى تقديم الشكل الصحيح. الحد الأقصى لحجم الملف المسموح به هو"
"Validated successfully","التحقق من صحة بنجاح"
"Invalid Api Key","مفتاح API غير صالح"
"Message","رسالة"
"Select Brodcast Device Type","اختر نوع الجهاز Brodcast"
"Remove Image","إزالة الصورة"
"Only .png or .jpg file format accepted. File size should not be more than 2 MB.","بابوا نيو غينيا فقط أو بتنسيق jpg ملف قبول. لا ينبغي أن يكون حجم ملف أكثر من 2 MB."
"--Select Product--","--حدد المنتج--"
"Enable/Disable","مفعل وغير مفعل"
"Facebook App Id","الفيسبوك معرف التطبيق"
"Validate App Id","التحقق من صحة رقم تعريف التطبيق"
"Enable the Extension","تمكين التمديد"
"This setting will enable/disable entire mobile app functionality.","فإن هذا الإعداد تمكين / تعطيل كامل وظائف التطبيق المحمول."
"Redirect on Cart Page when Add To Cart","إعادة توجيه على العربة الصفحة عند إضافة إلى السلة"
"This setting will redirect to cart page or keep on the product page when add to cart is clicked.","فإن هذا الإعداد إعادة توجيه إلى صفحة عربة أو تبقي على صفحة المنتج عند النقر فوق إضافة إلى السلة."
"Display Short Description","عرض قصير الوصف"
"Enable Request Log Reporting","تمكين طلب التقارير دخول"
"This setting will enable/disable error log reporting for every request to Web Services of the module.","فإن هذا الإعداد تمكين / تعطيل التقارير سجل خطأ كل طلب لخدمات الويب وحدة."
"Show App Preview","مشاهدة التطبيقات معاينة"
"This setting will show/hide the app preview.","فإن هذا الإعداد إظهار / إخفاء معاينة التطبيق."
"Enable Tab Bar","تمكين تبويب بار"
"This setting will enable/disable the tab bar in the app.","فإن هذا الإعداد تمكين / تعطيل شريط التبويب في التطبيق."
"Show Spin and Win","تظهر سبين واربح"
"Show spin and win popup on the mobile App.","تظهر تدور والفوز منبثقة على التطبيقات النقالة."
"Enable/Disable Fingerprint Login","تمكين / تعطيل بصمة الدخول"
"This setting will enable/disable Fingerprint login in Mobile App.","فإن هذا الإعداد تمكين / تعطيل تسجيل الدخول بصمة في موبايل التطبيق."
"Enable/Disable Phone Number Registration","تمكين / تعطيل رقم الهاتف التسجيل"
"This setting will enable/disable customer registration and login via phone number verification.","فإن هذا الإعداد تمكين / تعطيل تسجيل العملاء وتسجيل الدخول عن طريق التحقق من أرقام الهاتف."
"Mandatory Phone number at registration","رقم الهاتف إلزامي عند التسجيل"
"This setting will set the Phone number field as optional or required.","فإن هذا الإعداد تعيين حقل رقم الهاتف كما اختياري أو المطلوبة."
"Select layout for home page","حدد تخطيط للصفحة الرئيسية"
"Please select","الرجاء تحديد"
"Disabled Shippping Sethods","تعطيل حر Shippping Sethods"
"Select shipping methods from the list for which you want to disable this module.You can leave it to empty if you want to enable this module for all shipping methods.","تحديد الأساليب من القائمة التي تريد تعطيل هذا module.You يمكن ترك الأمر لتفريغ الشحن إذا كنت ترغب في تمكين هذه الوحدة لجميع وسائل النقل البحري."
"Select shipping methods","وسائل النقل البحري حدد"
"Enable Whatsapp Chat Support","تمكين واتس اب دردشة دعم"
"This setting will enable/disable WHATSAPP chat support option in mobile app.","فإن هذا الإعداد تمكين / خيار دعم ال WhatsApp دردشة في تعطيل التطبيق المحمول."
"Chat Number","عدد دردشة"
"Enter Chat number with Country code as well.","أدخل عدد الدردشة مع رمز البلد كذلك."
"Enable Live Chat Support","تمكين الدردشة دعم"
"This setting will enable/disable live chat support option in mobile app.","فإن هذا الإعداد تمكين الخيار / يعيش دردشة الدعم في تعطيل التطبيق المحمول."
"Chat API Key","مفتاح API الدردشة"
"Enter API Key for Live chat","أدخل مفتاح API للدردشة الحية"
"Enable Url Encoding Of Image Links","تمكين رابط ترميز الروابط صورة"
"This setting will enable/disable Url encoding of all image links.","فإن هذا الإعداد تمكين / ترميز رابط تعطيل جميع وصلات الصورة."
"Look And Feel","انظر و اشعر"
"Enable Logo","تمكين شعار"
"Upload logo","تحميل شعار"
"Remove logo","شعار إزالة"
"App Button Color","التطبيق زر اللون"
"Select button color of the app.","حدد لون زر من التطبيق."
"App Button Text Color","التطبيق اللون زر النص"
"Select button text color of the app.","حدد لون النص زر التطبيق."
"App Theme Color","التطبيق موضوع اللون"
"Select theme color of the app.","حدد اللون موضوع التطبيق."
"App Background Color","التطبيق لون الخلفية"
