"Top Sliders","Топ плъзгачи"
"Add custom CSS code that you want to be executed on the app","Добавяне на персонализирана CSS код, който искате да бъде изпълнено на приложението"
"Edit Payment Method Settings","Редактиране на настройките за начина на плащане"
"Something went wrong. Please try again.","Нещо се обърка. Моля, опитайте отново."
"Edit Settings","Редактиране на настройките"
"Upload Google JSON file","Качи Google JSON файл"
"Only .json file format accepted. File size should not be more than 1 MB.","Само .json файлов формат приет. Размерът на файла не трябва да бъде повече от 1 MB."
"Uploaded App Id","Id Качено App"
"Uploaded Api Key","Качено Api Key"
"Send New Push Notification","Изпрати New Push Уведомление"
"Send","Изпрати"
"Cancel","Отказ"
"View Push Notification","Вижте Push Уведомление"
"Send New Notification","Изпрати ново уведомление"
"Contact Us Page","Свържете се с нас Page"
"Enable/Disable Contact Us Page","Включване / Изключване на контакти Страница"
"Select Contact Us Page","Изберете контакти Страница"
"Select Product Carousel Type","Изберете продукта Carousel Type"
"Menu 1","Меню 1"
"Enable/Disable Menu","Включване / Изключване на Меню"
"Menu Title","Меню дял"
"Enter Tiltle for Menu","Въведете Tiltle за меню"
"Select Page","Изберете Page"
"Menu 2","Меню 2"
"Menu 3","Меню 3"
"Menu 4","Меню 4"
"Category Icon","Категория Икона"
"Select category to add icon","Изберете категория, за да добавите икона"
"Select category to add/edit icon.","Изберете категория, за да добавите / редактирате икона."
"Category icon saved successfully.","Категория икона запазена успешно."
"Something went wrong","опресняване на страницата."
"Invalid File Format","Моля, изберете само препоръчаните видове .."
"File size must be less than 1MB","Размерът на файла трябва да е по-малко от 1MB"
"Invalid File.","Невалиден файл."
"Add New Layout","Add New Layout"
"Firebase Server Setting","Firebase сървър Setting"
"Server Key","Сървър Key"
"Enter firebase server key","Въведете firebase ключ на сървъра"
"New Order Settings","Нова настройките за поръчка"
"Enable/Disable new order push notification","Включване / Изключване на известието за нова поръчка тласък"
"Title for new order push notification","Заглавие на известието за нова поръчка тласък"
"Message for new order push notification","Съобщение за известието за нова поръчка тласък"
"Order Status Change Settings","Състояние на поръчката Промяна на настройките"
"Enable/Disable order status change push notification","Включване / Изключване на състоянието на поръчката уведомление промяна тласък"
"Title for order status change push notification","Заглавие за състоянието на поръчката уведомление промяна тласък"
"Message for order status change push notification","Съобщение за състоянието на поръчката уведомление промяна тласък"
"Abandoned Cart Settings","Изоставени Настройки кошницата"
"Enable/Disable abandoned cart push notification","Включване / Изключване на изоставен уведомление количка тласък"
"Title for abandoned cart push notification","Заглавие за изоставени уведомление количка тласък"
"Message for abandoned cart push notification","Съобщение за изоставени уведомление количка тласък"
"Time Interval","Времеви интервал"
"Time interval to check Abandoned cart(In Hours)","Интервал от време, за да проверите Изоставен количка (в часове)"
"Cron Instructions","Cron Инструкции"
"Add the cron to your store via control panel/putty to send Abandoned cart push notifications according to your settings above. Find below","Инструкцията за да добавите Cron., Добавяне на Cron да си магазин през контролния панел / шпакловка за изпращане на уведомления Изоставени количка лицеви според вашите настройки по-горе. Вижте по-долу Инструкцията за да добавите Cron."
"URL to Add Cron via Control Panel","URL на Добавете Cron чрез Control Panel"
"Cron setup via SSH","Cron настройка чрез SSH"
"Preview","предварителен преглед"
"Paypal Mobile","Paypal Mobile"
"COD Mobile","COD Mobile"
"Invalid File Format.","Невалиден формат на файла."
"File should be less than 2 Mb.","Файл трябва да бъде по-малко от 2 Mb."
"Please Upload the Image.","Моля, качете го."
"Please Upload Image For Category.","Моля, Качване на изображението За категория."
"app_text_category_products","категория"
"app_text_no_internet","Интернет Проблем"
"app_text_product_image_viewer","Каталог Image Viewer"
"app_text_payment_methods","начини за плащане"
"app_text_seller_comments","Продавачът Коментар (и)"
"app_text_home","У дома"
"app_text_category","Категории"
"app_text_login","Влизам"
"app_text_logout","Излез от профила си"
"app_text_login_signup","Вход / Регистрация"
"app_text_account","Моята сметка"
"app_text_contact","Свържете се с нас"
"app_text_about","За нас"
"app_text_add_to_wishlist","Добави към списък с желания"
"app_text_add_to_cart","Добави в кошницата"
"app_text_off","от"
"app_text_all","всичко"
"app_text_languages","Език (ци)"
"app_text_sort","Вид"
"app_text_filter","филтър"
"app_text_sort_order","Изберете реда на сортиране"
"app_text_price_asce","Цена: от ниска към висока"
"app_text_price_desc","Цена: от висока към ниска"
"app_text_product","продукт"
"app_text_select","Изберете"
"app_text_instock","В наличност"
"app_text_outstock","Няма в наличност"
"app_text_product_info","Информация за продукта и хигиена"
"app_text_customization","Каталог персонализиране"
"app_text_accessories","аксесоари"
"app_text_view_less","Преглед на по-малко"
"app_text_view_more","Виж повече"
"app_text_provide_details","Моля, посочете подробности"
"app_text_discount_price","Намалена цена"
"app_text_discount_percentage","Процентът на отстъпката"
"app_text_rating","Оценка *"
"app_text_bag","Пазарска чанта"
"app_text_apply_voucher","Прилагане на талона"
"app_text_entry_voucher_code","Въведете кода на ваучера"
"app_text_apply","Приложи"
"app_text_gift","Опаковъчна хартия"
"app_text_entry_message","Въведете съобщението си"
"app_text_available_first","Изпрати налични продукти първия"
"app_text_continue_shopping","Продължи пазаруването"
"app_text_continue_checkout","Продължи с поръчката"
"app_text_update_quantity","новия брой"
"app_text_enter_quantity","Въведете количество"
"app_text_empty_cart","Вашата доставка Кошницата е празна!"
"app_text_goto_home","Отидете в началната страница"
"app_text_review_your_order","Прегледайте поръчката"
"app_text_add_new_shipping_address","Добавяне на нов адрес"
"app_text_history","Доставка Детайли"
"app_text_billing_details","данните за таксуване"
"app_text_same_as_shipping_details","Същия като адреса за доставка"
"app_text_summary","Обобщена информация за поръчката"
"app_text_shipping_methods","Методи за доставка"
"app_text_comment","Поръчка коментар"
"app_text_payment_summary","Заплащане Резюме"
"app_text_proceed","Продължете да Заплащане"
"app_text_make_payment","Извършвам плащане"
"app_text_congratulations","Честито"
"app_text_shipping_addresses","На адреса за доставка (и)"
"app_text_billing_addresses","Адресът за фактуриране (и)"
"app_text_addresses","Адрес (и)"
"app_text_order_detail","Подробности за поръчката"
"app_text_update_personal","Обновяване на лични Детайли"
"app_text_update_password","Актуализация на парола"
"app_text_current_password","Настояща парола"
"app_text_new_password","нова парола"
"app_text_confirm_password","потвърди парола"
"app_text_cancel","Отказ"
"app_text_save","Запази"
"app_text_order_ref","Поръчка Референтен"
"app_text_status","Статус"
"app_text_placed","Сложен на"
"app_text_reorder","Пренареждане"
"app_text_order_details","подробности за поръчката"
"app_text_status_history","История Статус"
"app_text_shipping_address","Адрес за доставка"
"app_text_billing_address","адрес на плащане"
"app_text_order_summary","Обобщена информация за поръчката"
"app_text_shipping_method","Начин на доставка"
"app_text_payment_method","Начин на плащане"
"app_text_gift_wrapping","Опаковане на подаръци"
"app_text_no_shipping_address","Не адрес за доставка на разположение!"
"app_text_no_order_details","детайли Няма налична ред!"
"app_text_signup","Регистрирай се"
"app_text_continue_guest","Продължи като гост"
"app_text_email","електронна поща"
"app_text_password","парола"
"app_text_forgot_password","Забравена парола"
"app_text_login_social_account","Можете да влезете с социален профил."
"app_text_login_with_google","Влез с Google+"
"app_text_login_with_facebook","Влез с Facebook"
"app_text_signup_with_google","Регистрация с Google+"
"app_text_signup_with_facebook","Регистрация с Facebook"
"app_text_msg_enter_valid_email","Моля, въведете валиден имейл!"
"app_text_msg_enter_email","Моля, въведете имейл!"
"app_text_msg_enter_password","Моля, въведете паролата!"
"app_text_msg_password_characters_less_than_3","Моля, въведете паролата като герои повече от или равно на 3!"
"app_text_msg_first_name","Първо име"
"app_text_msg_last_name","Фамилия"
"app_text_msg_dob","Дата на раждане"
"app_text_msg_confirm_password","потвърди парола"
"app_text_msg_personal_details","Лични данни"
"app_text_msg_pass_not_matched","Парола и Потвърждение на паролата не съвпадат!"
"app_text_sold_by","Продаден от:"
"app_text_write_review","Напиши отзив"
"app_text_view_review","Преглед Преглед (а)"
"app_text_view_seller_products","Вижте Продавач продукт (а)"
"app_text_wait","Моля Изчакай"
"app_text_loading","Данните се зареждат ..."
"app_text_msg_went_wrong","Нещо се обърка. Моля, опитайте отново."
"app_text_msg_no_internet_found","Няма връзка с интернет намерен."
"app_text_msg_no_internet_title","No Интернет"
"app_text_msg_request","Заявката не може да бъде процес. Това може да се дължи на бавния интернет връзка."
"app_text_msg_order_placed_email","Вашата поръчка е направена успешно. Вие ще получите имейл, по отношение на едни и същи."
"app_text_msg_product_look","Можете да потърсите продукт (и) от тяхната категория."
"app_text_msg_search_product","Можете да търсите всеки продукт в магазина с текстови или гласови!"
"app_text_msg_view_cart","Можете да видите кошницата с количество!"
"app_text_msg_logout","Вие сте излизане успешно!"
"app_text_msg_view_product","Можете да видите продукта в режим на мрежа списък или!"
"app_text_msg_sort_product","Можете да сортирате продукт от цената им!"
"app_text_msg_filter_product","Можете да филтрирате продукт (и) според вашите нужди!"
"app_text_text_next","Следващия"
"app_text_text_okay","добре"
"app_text_required","длъжен"
"app_text_msg_rating","Моля, изберете рейтинг"
"app_text_msg_add_cart","Можете да добавите продукт в количката, като кликнете върху бутона \ 'Добави в кошницата \'!"
"app_text_msg_add_wishlist","Можете да добавите продукт в списъка с желания, като кликнете върху бутона \ 'Добави към списък с желания \'!"
"app_text_msg_product_price","Цена на продукта е актуализиран!"
"app_text_msg_product_not_available","Този продукт не е наличен за поръчка!"
"app_text_msg_combination","Тази комбинация не съществува за този продукт. Моля, изберете друга комбинация."
"app_text_msg_product_no_stock","Този продукт не е наличен в желаното количество, или не в наличност!"
"app_text_msg_out_stock","Някои от продуктите в кошницата, не са на разположение в желаното количество, или не на склад. Моля, премахнете това продукт (и) от количка!"
"app_text_msg_checkout_products","Можете да касата продукти в количката за пазаруване, като кликнете върху бутона \ 'Продължи с поръчката \'."
"app_text_msg_apply_voucher","Можете да кандидатствате ваучер в количката!"
"app_text_msg_update_quantity","Можете да актуализирате количество от продукта, или да я премахнете от количка за пазаруване!"
"app_text_msg_view_details","Можете да видите подробности за продукта, като кликнете върху изображението на продукта!"
"app_text_msg_success","Успех!"
"app_text_msg_failure","Неспазването!"
"app_text_msg_enter_quantity","Моля, въведете количество"
"app_text_quantity","количество"
"app_text_remove","Премахване"
"app_text_customization_details","персонализиране Детайли"
"app_text_msg_add_address","Можете да добавите нов адрес за доставка, като кликнете върху бутона!"
"app_text_msg_update_address","Можете да актуализирате адреса за доставка се!"
"app_text_msg_select_address","Можете да изберете някоя адрес за доставка, като кликнете върху него!"
"app_text_select_address_text","* Моля, изберете за адрес за доставка, за да прегледате поръчката."
"app_text_msg_no_product","Няма продукти на разположение!"
"app_text_msg_no_comment_available","Без коментар (и) на разположение!"
"app_text_msg_reset_password","Можете да го направите, като кликнете `Забравете Password`"
"app_text_msg_login","Можете да влезете в магазина от тук!"
"app_text_msg_login_fb","Можете също така да влезете в магазина от вашия Facebook профил!"
"app_text_msg_login_google","Можете също така да влезете в магазина от профила си в Google!"
"app_text_msg_update_profile",""Можете да актуализирате данните в профила"
"app_text_product_info_and_care","Информация за продукта и хигиена"
"app_text_download","Изтегли"
"app_text_minimal_quantity","Минимално количество"
"app_text_seller_details","Продавач Детайли"
"app_text_pack_content","пакет съдържание"
"app_text_submit","Изпращане"
"app_text_msg_forget_password","Въведете адреса на електронната поща, свързани с профила ви. Кликнете представя да има парола по електронна поща за вас."
"app_text_enter_your_email","Въведете вашия имейл"
"app_text_reset_password","Възстановяване на паролата"
"app_text_view_selected_filter","Можете да видите избрания от вас резултат филтър, като кликнете върху тази снимка!"
"app_text_clear_selected_filter","Можете да изчистите прилагането на филтъра, като кликнете върху тази снимка!"
"app_text_no_filter","Не филтри"
"app_text_phone_number_required","* Трябва да се регистрирате поне един телефонен номер"
"app_text_refresh","Обновяване"
"app_text_internet_connection_failed","Неуспешно свързване с интернет!"
"app_text_internet_connection_problem","Възможно е да има някакъв проблем с интернет връзката ви. Моля те, провери."
"app_text_cancel_transaction","Отмени сделка"
"app_text_middle_of_payment","Вие сте в средата на процеса на транзакцията ви плащане. Наистина ли искате откажете от сделката?"
"app_text_yes","да"
"app_text_no","Не"
"app_text_enter_your_comment","Въведете вашия коментар"
"app_text_msg_shipping_methods_unavailable",""За някои продукт (и)"
"app_text_msg_select_shipping_methods","Моля, изберете начин на доставка"
"app_text_share_log","Сподели Вход"
"app_text_error_minimum_value","Въведете стойност по-голяма от 0"
"app_text_payment_failed_contact_support","Вашата поръчка не може да бъде обработена. Моля да се свържете с поддръжката на всички въпроси"
"app_text_currency","Валутна (и)"
"app_text_choose_payment_method","Изберете начин на плащане"
"app_text_no_payment_method","Не Начин на плащане (а)!"
"app_text_no_payment_currently","Не са начин за плащане в момента."
"app_text_no_make_payment","Ти спечели т \ "да бъде в състояние да извърши плащане, тъй като това мобилен App е настройка за примерни."
"app_text_make_payment_after_select","Можете да направите плащане, след като изберете всеки метод на плащане!"
"app_text_title_paypal_payment","PayPal Плащане"
"app_text_order_total_price","Поръчка Обща цена"
"app_text_user_cancelled_the_payment","Прекратено от потребителя плащане"
"app_text_invalid_payment_try_again","Невалиден плащане. Моля, опитайте отново"
"app_text_text_skip","Skip"
"app_text_wishlist_item_removed","Точка отстранява от желания."
"app_text_wishlist_item_added","Елементът е добавен към списък с желания"
"app_text_subject","Ей Вижте това!"
"app_text_text_extra_share","Предлага се тук:"
"app_text_share_intent_title","Дял"
"app_text_error_product_name_url","Името на продукта или адреса може да бъде празно."
"app_text_tag_error","грешка"
"app_text_demo_app_user_form","Моля попълнете детайлите!"
"app_text_full_name_demo_app_user","Твоето име*"
"app_text_email_demo_app_user","Електронна поща*"
"app_text_store_url_demo_app_user","Да се ​​съхранява на URL *"
"app_text_continue_demo_app_user_form","продължи"
"app_text_invalid_url","Невалиден съхранява URL!"
"app_text_invalid_email","Грешен имейл!"
"app_text_sellers","Продавачите"
"app_text_seller","продавач"
"app_text_seller_shipping_policy","Правила за доставка"
"app_text_seller_return_policy","Условия за връщане"
"app_text_review_title","Заглавие *"
"app_text_review_comment","коментар *"
"app_text_review_rating","Оценка *"
"app_text_filter_products","Филтър продукт (а)"
"app_text_select_category","Избери категория"
"app_text_select_sort","Изберете Сортирайте"
"app_text_clear","ясно"
"app_text_edit","редактиране"
"app_text_cart","количка"
"app_text_move_to_cart","Преместване в кошницата"
"app_text_no_shipping_method_available","Не Начин за доставка в наличност"
"app_text_module_not_installed","Моля, свържете се с администратора на сайта, за да видите данните на тази страница."
"app_text_no_data_found","Няма данни!"
"app_text_enter_coupon_code","Въведете код на талона"
"app_text_apply_coupon","Нанесете Купон"
"app_text_add_more_in_cart","Добавете още в количка, за да проведе този ред"
"app_text_shipping_details","Доставка Детайли"
"app_text_choose_app_theme","Изберете вашия App Тема"
"app_text_enter_store_url","Въведете вашия адрес в магазина"
"app_text_sample_store_url","Ex: http://your_store.com/"
"app_text_downloads","Downloads"
"app_text_done","Свършен"
"app_text_posted_on","Публикувано на:"
"app_text_commented_by","Коментирано от:"
"app_text_seller_comment","коментар:"
"app_text_open","отворено"
"app_text_order_status","отворено"
"app_text_special_products","Специални продукти"
"app_text_product_information","Информация за продукта"
"app_text_featured_products","фокус Продукти"
"app_text_requested_gift_order","Заявили сте опаковане на подаръци за тази цел"
"app_text_step_one_of_three","стъпка 1/3"
"app_text_review_checkout","Преглед Checkout"
"app_text_your_wishlist_is_empty","Списъкът с желания е празен!"
"app_text_no_shipping_method","Не Начин за доставка в наличност"
"app_text_no_order_found","Не Поръчка Намерени!"
"app_text_percent_off","% отстъпка"
"app_text_coupon_length_validation","Купон код знаци трябва да бъде по-голям от или равен на 4."
"app_text_coupon_code_removed","Купон отстъпка е била отстранена успешно!"
"app_text_facebook_login_cancelled","Facebook вход е бил отменен."
"app_text_facebook_login_failure","Facebook Вход Неизправност:"
"app_text_login_failed","Неуспешно влизане!"
"app_text_wrong_url_install_mab","Може да сте влезли грешен URL или не сте инсталирате мобилното ни приложение строител модул."
"app_text_install_module","Инсталирайте Модул"
"app_text_text_loading","Зареждане"
"app_text_text_exception","Изключение:"
"app_text_msg_reset_password_click","Можете да го направите, като кликнете \ 'Забравете парола \ "!"
"app_text_login_from_here","Можете да влезете в магазина от тук!"
"app_text_login_from_facebook_account","Можете също така да влезете в магазина от вашия Facebook профил!"
"app_text_login_from_google_account","Можете също така да влезете в магазина от профила си в Google!"
"app_text_text_warning","Внимание!"
"app_text_update_address_if_exists","Можете да актуализирате адрес за доставка, или изберете друг адрес, ако съществува!"
"app_text_continue_to_checkout_click_msg","Можете да касата продукти в количката за пазаруване, като кликнете върху бутона \ 'Продължи с поръчката \'!"
"app_text_please_enter_store_url","Моля, въведете URL магазин"
"app_text_product_not_desired_quantity","Някои от продуктите в кошницата, не са на разположение в желаното количество, или не на склад. Моля, премахнете това продукт (и) от количка!"
"app_text_select_shipping_methods","Изберете начина за доставка (и)"
"app_text_send_email","Изпратете имейл..."
"app_text_error_in_google_sign_in","Някои грешки в Google login.Please опитайте отново."
"app_text_process_payment_problem","настъпили Някои грешка при обработката на плащането. Моля, опитайте отново."
"app_text_text_state","състояние"
"app_text_update_address","Адрес за актуализация"
"app_text_unit_price","Единична цена"
"app_text_total_price","Обща цена"
"app_text_text_totals","суми"
"app_text_text_success","Успех!"
"app_text_sale","продажба"
"app_text_new","нов"
"app_text_share_api_log","Сподели дневник API"
"app_text_report_via_email","доклад"
"app_text_view_your_store","Преглед на вашия магазин"
"app_text_view_demo","Вижте Demo"
"app_text_search","Търсене"
"app_text_wishlist","списък с желания"
"app_text_select_language","Избери език"
"app_text_select_font","Изберете шрифта"
"app_text_share_feedback","Сподели обратна връзка / заявка по поръчка на климата"
"app_text_enter_state","Въведете състояние"
"app_text_choose_your_app_theme","Изберете вашия App Тема"
"app_text_terms_and_conditions","Условия за ползване"
"app_text_wishlist_only","списък с желания"
"app_text_wishlist_remove","Махни от списък с желания"
"app_text_state_not_required","Членка не се изисква за избраната страна"
"app_text_currencies","Валутна (и)"
"app_text_payment_failed","настъпили Някои грешка при обработката на плащането. Моля, опитайте отново"
"app_text_entered_wrong_url","Може да сте влезли грешен URL или не сте инсталирали мобилното ни приложение строител bodule."
"app_text_fill_all_required_fields","Моля, попълнете всички задължителни полета."
"app_text_extra_share","Предлага се тук:"
"app_text_intent_title","Дял"
"app_text_ok","Добре"
"app_text_explore_the_app","Разгледайте App"
"app_text_hour","час"
"app_text_min","Минути"
"app_text_sec","секунди"
"app_text_install_whatsapp","Whatsapp не е инсталиран на вашето устройство"
"app_text_no_account_registered","Не сметката е регистрирано за биометрична автентификация в това устройство. Моля, регистрирайте първи."
"app_text_confirm_for_authentication","Потвърдете вашия пръстов отпечатък или лице, за да се удостовери."
"app_text_login_with_fingerprint","Влез с пръстови отпечатъци"
"app_text_register_for_fingerprint","Регистрирайте се за пръстови отпечатъци Вход"
"app_text_biometric_not_available","Биометрична идентификация не е налична за това устройство."
"app_text_fingerprint_not_recognized","Touch ID не разпознава вашия пръстов отпечатък. Моля, опитайте отново с Регистрираният пръстов отпечатък."
"app_text_face_not_recognizes","Face ID не разпознава лицето ви. Моля, опитайте отново с регистрирали пръстовия си лице."
"app_text_fingerprint_or_face_not_enrolled","Не пръстови отпечатъци / лицето записани в устройството."
"app_text_biometry_locked_out","Функционалност е заключена вече заради твърде много неуспешни опити."
"app_text_register_for_fingerpring","Регистрирайте се за пръстови отпечатъци"
"app_text_register_for_fingerprint_details","Искате ли да се регистрирате на този профил за функционалност пръстови отпечатъци. След като направи можете да влезете в този профил, без да използвате Id електронна поща или парола само с помощта на проверката на пръстови отпечатъци."
"app_text_register","Регистрирам"
"app_text_verify","Уверете се,"
"app_text_get_otp","Get OTP"
"app_text_mobile_number","Мобилен номер"
"app_text_mobile_number_optional","Мобилен номер (по избор)"
"app_text_error_number_verification","Мобилният номер не може да бъде проверена! Моля, опитайте отново с правилния номер на OTP!"
"app_text_phone_number_already_exists","Телефонен номер вече е регистриран. Моля, опитайте отново с друг телефонен номер!"
"app_text_number_verification","номер за потвърждение"
"app_text_number_verification_description","Трябва да потвърдите телефонния номер. Моля, въведете телефонния номер и да представят"
"app_text_login_with_phone_number","Вход с телефонен номер"
"app_text_forget_password_description","Въведете е-мейл адрес или телефонен номер, свързан с профила ви."
"app_text_enter_email_or_mobile_number","Въведете имейл или номер на мобилен телефон"
"app_text_phone_number_change_message","Един телефонен номер вече е регистриран с този профил. Можете да промените само номер за контакт. Моля, въведете валиден телефонен номер."
"app_text_enter_otp","Въведете OTP"
"app_text_related_products","Свързани продукти"
"app_text_view_reviews","Преглед на отзивите"
"app_text_write_reviews","Пишете отзиви"
"app_text_please_fill_all_details","Моля, попълнете всички детайли"
"app_text_close","Близо"
"app_text_add_review","Добави коментар"
"app_text_write_a_review","Напишете коментар"
"app_text_nick","Nick"
"app_text_title","Заглавие"
"app_text_no_reviews","Няма коментари за продукта"
"app_text_number_of_reviews","Брой отзиви"
"app_text_minimum_rating","Моля, добавете минимален рейтинг"
"app_text_error","грешка"
"app_text_no_reviews","няма коментари"