"Top Sliders","top Sliders"
"Add custom CSS code that you want to be executed on the app","Pridať vlastný CSS kód, ktorý chcete byť vykonané na aplikáciu"
"Edit Payment Method Settings","Edit Platobné nastavenia Method"
"Something went wrong. Please try again.","Niečo sa pokazilo. Prosím skúste znova."
"Edit Settings","upraviť nastavenia"
"Upload Google JSON file","nahratí súboru Google JSON"
"Only .json file format accepted. File size should not be more than 1 MB.","Iba .json formát súboru prijatý. Veľkosť súboru by nemala byť väčšia ako 1 MB."
"Uploaded App Id","Id App Nahraný"
"Uploaded Api Key","Nahraný Api Key"
"Send New Push Notification","Poslať nový impulz oznámenia"
"Send","send"
"Cancel","Zrušiť"
"View Push Notification","Pohľad push Oznámenie"
"Send New Notification","Odoslať nové oznámenie"
"Contact Us Page","Kontaktujte nás Page"
"Enable/Disable Contact Us Page","Povoliť / zakázať Kontaktujte nás Stránka"
"Select Contact Us Page","Zvoliť Kontaktujte nás Stránka"
"Select Product Carousel Type","Zvoliť produkt Carousel Typ"
"Menu 1","menu 1"
"Enable/Disable Menu","Povoliť / zakázať Menu"
"Menu Title","menu Názov"
"Enter Tiltle for Menu","Vstúpiť Tiltle pre menu"
"Select Page","select Page"
"Menu 2","menu 2"
"Menu 3","Menu 3"
"Menu 4","Menu 4"
"Category Icon","Kategória Icon"
"Select category to add icon","Vyberte kategóriu, ktorú chcete pridať na ikonu"
"Select category to add/edit icon.","Vyberte kategóriu pridať / upraviť ikony."
"Category icon saved successfully.","ikona kategória bola úspešne uložená."
"Something went wrong","aktualizovať stránku."
"Invalid File Format","Prosím, vyberte iba odporúčané typy .."
"File size must be less than 1MB","Veľkosť súboru musí byť menšia ako 1 MB"
"Invalid File.","Neplatný súbor."
"Add New Layout","Pridať nový rozvrhnutie"
"Firebase Server Setting","Nastavenie Firebase Server"
"Server Key","server Key"
"Enter firebase server key","Vstúpiť Firebase kľúč servera"
"New Order Settings","Nastavenie New Order"
"Enable/Disable new order push notification","Povoliť Zakázať nové oznámenie / objednávka Push"
"Title for new order push notification","Názov nové oznámenie poradí Push"
"Message for new order push notification","Správa pre oznámenia o novej objednávke Push"
"Order Status Change Settings","Stav objednávky Zmeniť nastavenia"
"Enable/Disable order status change push notification","Povoliť / stav objednávky oznámenia Zakázať zmena tlačnou"
"Title for order status change push notification","Hlava pre oznamovanie zmien Push stavu objednávky"
"Message for order status change push notification","Správa pre oznamovanie zmien Push stavu objednávky"
"Abandoned Cart Settings","Opustené košík Nastavenie"
"Enable/Disable abandoned cart push notification","Povoliť / zakázať opustený vozík push notifikáciu"
"Title for abandoned cart push notification","Hlava pre opustené oznámenia košíka Push"
"Message for abandoned cart push notification","Správa pre opustené oznámenia košíka Push"
"Time Interval","Časový interval"
"Time interval to check Abandoned cart(In Hours)","Časový interval pre kontrolu opustené vozík (v hodinách)"
"Cron Instructions","cron Inštrukcie"
"Add the cron to your store via control panel/putty to send Abandoned cart push notifications according to your settings above. Find below","Pokyn na pridať cron., Pridajte cron do vášho obchodu prostredníctvom ovládacieho panela / tmelu poslať Opustené oznámenia vozík Push v závislosti od nastavenia vyššie. Nižšie nájdete Pokynu pridať cron."
"URL to Add Cron via Control Panel","URL pridať Cron prostredníctvom ovládacieho panela"
"Cron setup via SSH","Nastavenie cron cez SSH"
"Preview","Náhľad"
"Paypal Mobile","paypal Mobile"
"COD Mobile","COD Mobile"
"Invalid File Format.","Neplatný formát súboru."
"File should be less than 2 Mb.","Súbor musí byť menší ako 2 Mb."
"Please Upload the Image.","Prosím, nahrajte obrázok."
"Please Upload Image For Category.","Prosím, nahrať obrázok pre kategórie."
"app_text_category_products","kategórie"
"app_text_no_internet","internet Problem"
"app_text_product_image_viewer","Product Image Viewer"
"app_text_payment_methods","spôsob platby"
"app_text_seller_comments","Predajca Comment (s)"
"app_text_home","Domov"
"app_text_category","Kategórie"
"app_text_login","Prihlásiť sa"
"app_text_logout","Odhlásiť sa"
"app_text_login_signup","Prihlásiť Registrácia"
"app_text_account","Môj účet"
"app_text_contact","Kontaktuj nás"
"app_text_about","O nás"
"app_text_add_to_wishlist","Pridať do zoznamu želaní"
"app_text_add_to_cart","Pridať do košíka"
"app_text_off","preč"
"app_text_all","všetko"
"app_text_languages","Jazyk (y)"
"app_text_sort","druh"
"app_text_filter","filter"
"app_text_sort_order","Select Sort Order"
"app_text_price_asce","Cena: od najnižšieho k najvyššiemu"
"app_text_price_desc","Cena: od najvyššej"
"app_text_product","výrobok"
"app_text_select","vybrať"
"app_text_instock","Na sklade"
"app_text_outstock","Vypredané"
"app_text_product_info","Informácie o výrobku a starostlivosť"
"app_text_customization","Prispôsobenie produktu"
"app_text_accessories","príslušenstvo"
"app_text_view_less","Zobraziť menej"
"app_text_view_more","Vidieť viac"
"app_text_provide_details","uveďte podrobnosti"
"app_text_discount_price","Zľavnená cena"
"app_text_discount_percentage","zľava Percento"
"app_text_rating","hodnotenie *"
"app_text_bag","Nákupná taška"
"app_text_apply_voucher","naneste poukaz"
"app_text_entry_voucher_code","Zadajte kód voucheru"
"app_text_apply","platiť"
"app_text_gift","Baliaci papier"
"app_text_entry_message","Vložte vašu správu"
"app_text_available_first","Poslať dostupné produkty ako prvý"
"app_text_continue_shopping","Pokračovať v nákupe"
"app_text_continue_checkout","Pokračovať k pokladni"
"app_text_update_quantity","aktualizácie Množstvo"
"app_text_enter_quantity","zadajte množstvo"
"app_text_empty_cart","Váš lodné košík je prázdny!"
"app_text_goto_home","Prejdi na domovskú stránku"
"app_text_review_your_order","Ohodnoť svoju objednávku"
"app_text_add_new_shipping_address","Pridať novú adresu"
"app_text_history","vodná doprava Podrobnosti"
"app_text_billing_details","fakturačné údaje"
"app_text_same_as_shipping_details","Rovnaké ako dodacia adresa"
"app_text_summary","Prehľad objednávky"
"app_text_shipping_methods","námorná Methods"
"app_text_comment","objednať Comment"
"app_text_payment_summary","platba Zhrnutie"
"app_text_proceed","Pristúpiť k platbe"
"app_text_make_payment","Vykonať platbu"
"app_text_congratulations","blahoželanie"
"app_text_shipping_addresses","Dodacia adresa (y)"
"app_text_billing_addresses","Fakturačná adresa (y)"
"app_text_addresses","Adresa (y)"
"app_text_order_detail","objednať Detail"
"app_text_update_personal","Aktualizácia Osobné údaje"
"app_text_update_password","aktualizácie hesla"
"app_text_current_password","Current Password"
"app_text_new_password","Nové heslo"
"app_text_confirm_password","Potvrďte heslo"
"app_text_cancel","Zrušiť"
"app_text_save","Uložiť"
"app_text_order_ref","objednať referencie"
"app_text_status","Postavenie"
"app_text_placed","Kladený na"
"app_text_reorder","Reorder"
"app_text_order_details","Detaily objednávky"
"app_text_status_history","stav History"
"app_text_shipping_address","dodacia adresa"
"app_text_billing_address","Fakturačná adresa"
"app_text_order_summary","Prehľad objednávky"
"app_text_shipping_method","Spôsob dopravy"
"app_text_payment_method","Spôsob platby"
"app_text_gift_wrapping","Darčekové balenie"
"app_text_no_shipping_address","No dodacia adresa k dispozícii!"
"app_text_no_order_details","Detaily k dispozícii žiadna objednávka!"
"app_text_signup","Prihlásiť Se"
"app_text_continue_guest","Pokračovať ako hosť"
"app_text_email","e-mail"
"app_text_password","heslo"
"app_text_forgot_password","Zabudol si heslo"
"app_text_login_social_account","Môžete sa prihlásiť so sociálnym účtu."
"app_text_login_with_google","Prihlásenie so službou Google+"
"app_text_login_with_facebook","Prihlásiť sa cez Facebook"
"app_text_signup_with_google","Prihlásenie so službou Google+"
"app_text_signup_with_facebook","Registrácia Facebook"
"app_text_msg_enter_valid_email","Zadajte platný e-mail!"
"app_text_msg_enter_email","Prosím zadajte e-mail!"
"app_text_msg_enter_password","Prosím, zadajte heslo!"
"app_text_msg_password_characters_less_than_3","Prosím, zadajte heslo, ktoré majú znaky viac ako alebo rovný 3!"
"app_text_msg_first_name","Krstné meno"
"app_text_msg_last_name","Priezvisko"
"app_text_msg_dob","Dátum narodenia"
"app_text_msg_confirm_password","Potvrďte heslo"
"app_text_msg_personal_details","Osobné údaje"
"app_text_msg_pass_not_matched","Heslo a Potvrdenie hesla nie sú uzavreté!"
"app_text_sold_by","predáva:"
"app_text_write_review","Napísať komentár"
"app_text_view_review","Pohľad Review (s)"
"app_text_view_seller_products","Pohľad Predajca Produkt (y)"
"app_text_wait","Prosím čakajte"
"app_text_loading","Loading data ..."
"app_text_msg_went_wrong","Niečo sa pokazilo. Prosím skúste znova."
"app_text_msg_no_internet_found","Žiadne pripojenie k internetu nájsť."
"app_text_msg_no_internet_title","nie Internet"
"app_text_msg_request","Požiadavka nemôže byť proces. To by mohlo byť z dôvodu pomalého pripojenia k internetu."
"app_text_msg_order_placed_email","Vaša objednávka bola úspešne zadaná. Dostanete e-mail, pokiaľ ide o to isté."
"app_text_msg_product_look","Môžete sa pozrieť na produkt (y) zo svojej kategórie."
"app_text_msg_search_product","Môžete hľadať akýkoľvek výrobok v obchode podľa textu alebo hlasu!"
"app_text_msg_view_cart","Môžete si prezrieť nákupný vozík s množstvom!"
"app_text_msg_logout","Ste logout úspešne!"
"app_text_msg_view_product","Si môžete prezrieť produkt v režime mriežky alebo zoznamu!"
"app_text_msg_sort_product","Môžete zoradiť tovar podľa ich cenu!"
"app_text_msg_filter_product","Môžete filtrovať produkt (y) podľa svojej potreby!"
"app_text_text_next","Ďalšie"
"app_text_text_okay","dobre"
"app_text_required","Požadovaný"
"app_text_msg_rating","Prosím vyberte Hodnotenie"
"app_text_msg_add_cart","Môžete pridať tento produkt do nákupného košíka kliknutím na tlačidlo \, Pridať do košíka \ '!"
"app_text_msg_add_wishlist","Môžete pridať tento produkt do zoznamu prianí jednoduchým kliknutím na tlačidlo \, Pridať do zoznamu prianí \ '!"
"app_text_msg_product_price","cena produktu bola aktualizovaná!"
"app_text_msg_product_not_available","Tento výrobok nie je k dispozícii na objednávku!"
"app_text_msg_combination","Táto kombinácia nie je pre tento produkt neexistuje. Prosím vyberte inú kombináciu."
"app_text_msg_product_no_stock","Tento produkt nie je k dispozícii v požadovanom množstve alebo nie je skladom!"
"app_text_msg_out_stock","Niektoré z výrobkov v košíku nie sú k dispozícii v požadovanom množstve alebo nie je na sklade. Odstráňte takýto produkt (y) z košíku!"
"app_text_msg_checkout_products","Môžete pokladne produkty v nákupnom košíku jednoduchým kliknutím na tlačidlo \, Pokračovať k pokladni \ '."
"app_text_msg_apply_voucher","Môžete použiť voucher do nákupného koša!"
"app_text_msg_update_quantity","Môžete aktualizovať množstvo výrobku, alebo ho od nákupného košíka!"
"app_text_msg_view_details","Si môžete prezrieť informácie o produkte kliknutím na obrázok výrobku!"
"app_text_msg_success","Úspech!"
"app_text_msg_failure","Zlyhanie!"
"app_text_msg_enter_quantity","Zadajte prosím množstvo"
"app_text_quantity","množstvo"
"app_text_remove","Remove"
"app_text_customization_details","prispôsobenie Podrobnosti"
"app_text_msg_add_address","Môžete pridať novú dodaciu adresu kliknutím na tlačidlo!"
"app_text_msg_update_address","Môžete aktualizovať lodné adresu!"
"app_text_msg_select_address","Môžete si vybrať ľubovoľný dodaciu adresu jednoduchým kliknutím na neho!"
"app_text_select_address_text","* Vyberte dodaciu adresu, aby preskúmali svoje objednávky."
"app_text_msg_no_product","Žiadne produkty k dispozícii!"
"app_text_msg_no_comment_available","Bez komentára (y) k dispozícii!"
"app_text_msg_reset_password","Môžete obnoviť svoje heslo kliknutím `Zabudnite Password`"
"app_text_msg_login","Môžete sa prihlásiť do obchodu odtiaľ!"
"app_text_msg_login_fb","Môžete sa tiež prihlásiť do obchodu zo svojho účtu na Facebooku!"
"app_text_msg_login_google","Môžete sa tiež prihlásiť do obchodu zo svojho účtu Google!"
"app_text_msg_update_profile",""Môžete aktualizovať svoje údaje profilu"
"app_text_product_info_and_care","Informácie o výrobku a starostlivosť"
"app_text_download","Stiahnuť ▼"
"app_text_minimal_quantity","minimálne množstvo"
"app_text_seller_details","Predávajúci Podrobnosti"
"app_text_pack_content","pack Content"
"app_text_submit","Predložiť"
"app_text_msg_forget_password","Zadajte e-mailovú adresu spojenú s vaším účtom. Kliknite na tlačidlo odoslať, aby vaše heslo e-mailom na vás."
"app_text_enter_your_email","Zadajte svoj e-mail"
"app_text_reset_password","Obnoviť heslo"
"app_text_view_selected_filter","Môžete si prezrieť vybraný výsledok filtra kliknutím na tento obrázok!"
"app_text_clear_selected_filter","Môžete vyčistiť filter aplikovať kliknutím na tento obrázok!"
"app_text_no_filter","žiadne filtre"
"app_text_phone_number_required","* Musíte sa registrovať aspoň jedno telefónne číslo"
"app_text_refresh","Obnoviť"
"app_text_internet_connection_failed","Pripojenie k internetu zlyhalo!"
"app_text_internet_connection_problem","Tam by mohol byť nejaký problém s pripojením k internetu. Prosím skontroluj."
"app_text_cancel_transaction","zrušenie transakcie"
"app_text_middle_of_payment","Ste v stredu vášho procesu platobnej transakcie. Naozaj chcete zrušiť transakciu?"
"app_text_yes","Áno"
"app_text_no","žiadny"
"app_text_enter_your_comment","Zadajte svoj komentár"
"app_text_msg_shipping_methods_unavailable",""Z nejakého produktu, (S)"
"app_text_msg_select_shipping_methods","Vyberte si spôsob dopravy"
"app_text_share_log","podiel Log"
"app_text_error_minimum_value","Zadajte hodnotu väčšiu ako 0"
"app_text_payment_failed_contact_support","Vaša objednávka nemôže byť spracovaná. Láskavo kontaktujte podporu pre všetky dotazy"
"app_text_currency","Mena (y)"
"app_text_choose_payment_method","Vyberte si metódu platby"
"app_text_no_payment_method","Nie Spôsob platby (y)!"
"app_text_no_payment_currently","Neexistujú žiadne platobná metóda v súčasnej dobe."
"app_text_no_make_payment","Ste vyhral \ 't byť schopný vykonať platbu za tento mobilný aplikácie je nastavenie pre demonštračné účely."
"app_text_make_payment_after_select","Môžete vykonať platbu po zvolení akejkoľvek platobnej metódy!"
"app_text_title_paypal_payment","PayPal Payment"
"app_text_order_total_price","Objednať Celková cena"
"app_text_user_cancelled_the_payment","Užívateľ zrušil platbu"
"app_text_invalid_payment_try_again","Neplatné platobné. opäť láskavo pokus"
"app_text_text_skip","skip"
"app_text_wishlist_item_removed","Položka bola odstránená zo zoznamu želaní."
"app_text_wishlist_item_added","Položka bola pridaná do knihy prianí"
"app_text_subject","Hej Pozrite sa na to!"
"app_text_text_extra_share","K dispozícii tu:"
"app_text_share_intent_title","zdieľam"
"app_text_error_product_name_url","Názov produktu alebo url môže byť prázdny."
"app_text_tag_error","Chyba"
"app_text_demo_app_user_form","Vyplňte prosím podrobnosti!"
"app_text_full_name_demo_app_user","Tvoje meno*"
"app_text_email_demo_app_user","E-mail *"
"app_text_store_url_demo_app_user","Store URL *"
"app_text_continue_demo_app_user_form","ďalej"
"app_text_invalid_url","Neplatné Store URL!"
"app_text_invalid_email","Neplatný email!"
"app_text_sellers","predajcovia"
"app_text_seller","predavač"
"app_text_seller_shipping_policy","Dodacie podmienky"
"app_text_seller_return_policy","Návrat politiky"
"app_text_review_title","titul *"
"app_text_review_comment","komentár *"
"app_text_review_rating","hodnotenie *"
"app_text_filter_products","Filter Produkt (y)"
"app_text_select_category","vybrať kategóriu"
"app_text_select_sort","vyberte Sort"
"app_text_clear","jasný"
"app_text_edit","editovať"
"app_text_cart","vozík"
"app_text_move_to_cart","Presunúť do košíka"
"app_text_no_shipping_method_available","Nie Spôsob dopravy je k dispozícii"
"app_text_module_not_installed","Obráťte sa na správcu webu pre zobrazenie dát na tejto stránke."
"app_text_no_data_found","Neboli nájdené žiadne dáta!"
"app_text_enter_coupon_code","Zadať kód kupónu"
"app_text_apply_coupon","použiť kupón"
"app_text_add_more_in_cart","Pridať ďalší v nákupnom košíku na mieste tomto poradí"
"app_text_shipping_details","vodná doprava Podrobnosti"
"app_text_choose_app_theme","Vyberte si svoj App Theme"
"app_text_enter_store_url","Zadajte svoj obchod URL"
"app_text_sample_store_url","Ex: http://your_store.com/"
"app_text_downloads","K stiahnutiu"
"app_text_done","hotový"
"app_text_posted_on","Publikované dňa:"
"app_text_commented_by","komentoval:"
"app_text_seller_comment","komentár:"
"app_text_open","Otvorené"
"app_text_order_status","Otvorené"
"app_text_special_products","špeciálne produkty"
"app_text_product_information","Informácie o produkte"
"app_text_featured_products","celovečerný produkty"
"app_text_requested_gift_order","Požiadali ste o balení darčekov pre túto objednávku"
"app_text_step_one_of_three","krok 1/3"
"app_text_review_checkout","Review Pokladňa"
"app_text_your_wishlist_is_empty","Váš zoznam prianí je prázdny!"
"app_text_no_shipping_method","Nie Spôsob dopravy je k dispozícii"
"app_text_no_order_found","No Objednať nájdených!"
"app_text_percent_off","% Z ceny"
"app_text_coupon_length_validation","znaky kupón kód musí byť väčšia ako alebo rovná 4."
"app_text_coupon_code_removed","Kupónu zľava bol úspešne odstránený!"
"app_text_facebook_login_cancelled","Facebook Prihlásenie bolo zrušené."
"app_text_facebook_login_failure","Facebook Prihlásenie Failure:"
"app_text_login_failed","Prihlásenie zlyhalo!"
"app_text_wrong_url_install_mab","Možno ste zadali nesprávnu adresu alebo ste inštaláciu mobilnej aplikácie staviteľ modul."
"app_text_install_module","inštalovať modul"
"app_text_text_loading","Načítava"
"app_text_text_exception","výnimka:"
"app_text_msg_reset_password_click","Môžete obnoviť heslo kliknutím na \, Zabudli ste heslo \ '!"
"app_text_login_from_here","Môžete sa prihlásiť do obchodu odtiaľ!"
"app_text_login_from_facebook_account","Môžete sa tiež prihlásiť do obchodu zo svojho účtu na Facebooku!"
"app_text_login_from_google_account","Môžete sa tiež prihlásiť do obchodu zo svojho účtu Google!"
"app_text_text_warning","Výstraha!"
"app_text_update_address_if_exists","Môžete aktualizovať doručovaciu adresu alebo si vybrať inú adresu, ak existuje!"
"app_text_continue_to_checkout_click_msg","Môžete pokladne produkty v nákupnom košíku jednoduchým kliknutím na tlačidlo \, Pokračovať k pokladni \ '!"
"app_text_please_enter_store_url","Zadajte prosím adresu URL obchodu"
"app_text_product_not_desired_quantity","Niektoré z výrobkov v košíku nie sú k dispozícii v požadovanom množstve alebo nie je na sklade. Odstráňte takýto produkt (y) z košíku!"
"app_text_select_shipping_methods","Select Spôsob dopravy (s)"
"app_text_send_email","Poslať email..."
"app_text_error_in_google_sign_in","Niektoré chyby v google login.Please skúste to znova."
"app_text_process_payment_problem","Pri spracovaní platby sa vyskytla chyba. Láskavo skúste to znova."
"app_text_text_state","Štát"
"app_text_update_address","aktualizácie Address"
"app_text_unit_price","Jednotková cena"
"app_text_total_price","Celková cena"
"app_text_text_totals","súčty"
"app_text_text_success","Úspech!"
"app_text_sale","zľava"
"app_text_new","Nový"
"app_text_share_api_log","Podiel log API"
"app_text_report_via_email","správa"
"app_text_view_your_store","Zobraziť svoj obchod"
"app_text_view_demo","view Demo"
"app_text_search","Vyhľadávanie"
"app_text_wishlist","želanie"
"app_text_select_language","Zvoľ jazyk"
"app_text_select_font","vybrať písmo"
"app_text_share_feedback","Share spätná väzba / požiadavka na zákazku zmena"
"app_text_enter_state","vstúpiť do stavu"
"app_text_choose_your_app_theme","Vyberte si svoj App Theme"
"app_text_terms_and_conditions","podmienky používania"
"app_text_wishlist_only","želanie"
"app_text_wishlist_remove","Odstrániť zo zoznamu želaní"
"app_text_state_not_required","Štát, ktorý nie je vyžadovaný pre vybrané krajiny"
"app_text_currencies","Mena (y)"
"app_text_payment_failed","Pri spracovaní platby sa vyskytla chyba. opäť láskavo pokus"
"app_text_entered_wrong_url","Možno ste zadali nesprávnu adresu alebo ste nenainštalovali naše mobilné aplikácie staviteľ BODUL."
"app_text_fill_all_required_fields","Prosím, vyplňte všetky požadované údaje."
"app_text_extra_share","K dispozícii tu:"
"app_text_intent_title","zdieľam"
"app_text_ok","OK"
"app_text_explore_the_app","preskúmajte App"
"app_text_hour","hodina"
"app_text_min","minúty"
"app_text_sec","sekundy"
"app_text_install_whatsapp","WhatsApp nie je nainštalovaný na vašom zariadení"
"app_text_no_account_registered","Žiadny účet je registrovaný pre biometrické autentizácie v tomto prístroji. Prvé zaregistrujte účet."
"app_text_confirm_for_authentication","Potvrdí svoj odtlačok prsta alebo tváre pre overenie."
"app_text_login_with_fingerprint","Prihlásiť pomocou odtlačkov prstov"
"app_text_register_for_fingerprint","Zaregistrujte sa Fingerprint Login"
"app_text_biometric_not_available","Biometrická autentizácia nie je k dispozícii pre toto zariadenie."
"app_text_fingerprint_not_recognized","Touch ID nerozpozná odtlačok prsta. Skúste to znova s ​​zaregistrovaným prstom."
"app_text_face_not_recognizes","ID tvár nerozozná váš tvár. Skúste to znova s ​​naučeného tváre."
"app_text_fingerprint_or_face_not_enrolled","Žiadne odtlačky prstov / tvárou zapísal do zariadenia."
"app_text_biometry_locked_out","Funkcia je teraz uzamknutá, pretože príliš veľa neúspešných pokusov."
"app_text_register_for_fingerpring","Zaregistrujte sa Fingerprint"
"app_text_register_for_fingerprint_details","Chcete sa zaregistrovať tento účet pre funkciu odtlačku prsta. Potom, čo urobil sa môžete prihlásiť do tohto účtu bez použitia e-mailovej adresy alebo hesla len pomocou overenie odtlačkov prstov."
"app_text_register","Registrovať"
"app_text_verify","overiť"
"app_text_get_otp","get OTP"
"app_text_mobile_number","Telefónne číslo"
"app_text_mobile_number_optional","Číslo mobilného telefónu (voliteľne)"
"app_text_error_number_verification","Číslo mobilného telefónu nebolo možné overiť! Skúste to znova s ​​správny počet OTP!"
"app_text_phone_number_already_exists","Telefónne číslo je už registrované. Skúste to znova s ​​inou telefónne číslo!"
"app_text_number_verification","počet Overenie"
"app_text_number_verification_description","Je potrebné overiť telefónne číslo. Prosím, zadajte telefónne číslo a odoslať"
"app_text_login_with_phone_number","Vstup na telefónne číslo"
"app_text_forget_password_description","Zadajte e-mailovú adresu alebo telefónne číslo spojené s vašim účtom."
"app_text_enter_email_or_mobile_number","Zadajte e-mail alebo číslo mobilného telefónu"
"app_text_phone_number_change_message","Jedno telefónne číslo je už registrované v tomto účte. Môžete zmeniť iba telefónne číslo. Zadajte platné telefónne číslo."
"app_text_enter_otp","vstúpiť OTP"
"app_text_related_products","Súvisiace produkty"
"app_text_view_reviews","ukázať hodnotenie"
"app_text_write_reviews","písať recenzie"
"app_text_please_fill_all_details","Vyplňte prosím všetky podrobnosti"
"app_text_close","Zavrieť"
"app_text_add_review","Pridať recenziu"
"app_text_write_a_review","Napísať recenziu"
"app_text_nick","nick"
"app_text_title","nadpis"
"app_text_no_reviews","Žiadne komentáre k produktu"
"app_text_number_of_reviews","počet recenzií"
"app_text_minimum_rating","Prosím, pridajte Minimálny rating"
"app_text_error","Chyba"
"app_text_no_reviews","žiadne komentáre"